"genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN887_c0_g1",1132.41829630106,-5.00891976314033,0.469163591058675,-10.676275522228,1.31439810319167e-26,6.27322782710286e-22
"TRINITY_DN1237_c0_g1",7531.87675247566,-7.1693226190844,0.72747394070065,-9.85509200807858,6.5156990435662e-23,1.55487384126142e-18
"TRINITY_DN64827_c0_g1",530.516579323878,-4.49941134564222,0.495548577299859,-9.07965747809947,1.08917064419783e-19,1.73276157785433e-15
"TRINITY_DN608_c0_g2",246.05337378,7.2276763140256,0.835166159108544,8.65417765698316,4.9647823862087e-18,4.73908337893165e-14
"TRINITY_DN608_c0_g3",403.229295445544,7.24336196856702,0.834866271784058,8.67607449644409,4.09663868823937e-18,4.73908337893165e-14
"TRINITY_DN608_c0_g1",3935.34232741084,4.54415713652876,0.618643643531937,7.34535492935066,2.05213800833323e-13,1.63237317872867e-09
"TRINITY_DN37199_c0_g1",1738.63425116723,5.05693120899131,0.71567870991227,7.06592377131242,1.5955098833524e-12,9.51861252534499e-09
"TRINITY_DN716_c19_g1",136.158130119484,4.78292626029815,0.676829994220671,7.06665824673655,1.58709166837541e-12,9.51861252534499e-09
"TRINITY_DN74860_c0_g1",15.5951703160594,-20.2336189993552,2.99069375527771,-6.76552688273374,1.32824928706118e-11,7.04370596928542e-08
"TRINITY_DN2302_c0_g2",320.78890290232,4.91404830465486,0.741102788677598,6.63072434718987,3.3404354006766e-11,1.59428960368092e-07
"TRINITY_DN4193_c3_g1",142.143209065394,-10.1236434742872,1.57816882104648,-6.41480387857002,1.41004265370938e-10,6.11791870305341e-07
"TRINITY_DN66504_c0_g1",695.331033930965,2.89674397260444,0.466634955877569,6.2077303384971,5.37552866358928e-10,2.13798213772605e-06
"TRINITY_DN1055_c2_g1",79.5048553063259,-6.71337543872493,1.08411181802276,-6.19251199656603,5.92128413154916e-10,2.17388559804959e-06
"TRINITY_DN1225_c0_g1",935.709378148197,3.89766347518475,0.636544933243938,6.12315528979487,9.17402034231656e-10,3.12748906341245e-06
"TRINITY_DN39041_c0_g1",575.978295828851,3.91646742822239,0.649915945519371,6.02611376936229,1.67948981718838e-09,5.34380070032998e-06
"TRINITY_DN845_c0_g1",195.192072613811,-7.11414356821374,1.2134039451403,-5.86296393439793,4.54677007929027e-09,1.35627309733929e-05
"TRINITY_DN9269_c0_g1",568.118413743224,4.32212062714019,0.745285794584964,5.79927949592425,6.66004491014073e-09,1.86978802015463e-05
"TRINITY_DN1609_c0_g1",378.272068059276,-3.02111873093044,0.528899841081193,-5.71208099581686,1.1160294471052e-08,2.95915207899943e-05
"TRINITY_DN1806_c1_g2",1282.66640795861,3.03402362250976,0.559214030164727,5.42551413028038,5.77879578002494e-08,0.000138360282385505
"TRINITY_DN3472_c0_g1",147.707069300584,-4.77473103872975,0.880147420808691,-5.42492192312813,5.79798782179919e-08,0.000138360282385505
"TRINITY_DN2053_c2_g1",369.877941566509,5.83140759383849,1.08068135067545,5.39604721613243,6.81250261586822e-08,0.000154828720165496
"TRINITY_DN6431_c0_g1",465.637048163681,-5.37844786823687,0.999634811463727,-5.38041273328749,7.43152576386001e-08,0.00016122019551443
"TRINITY_DN6838_c0_g1",68.0702503065235,-4.58846325081972,0.863465905883955,-5.31400628508011,1.07240917003713e-07,0.000222534228079835
"TRINITY_DN6217_c0_g1",257.403097753217,3.70755912583985,0.698785470984747,5.30571867874565,1.12229931669785e-07,0.000223183247866827
"TRINITY_DN462_c0_g2",16655.4281112808,3.13456002359284,0.597139770686617,5.24929032944597,1.52686274092598e-07,0.000291490312144698
"TRINITY_DN56004_c0_g1",1156.76298190285,-2.55630466896146,0.496385579459773,-5.14983668893755,2.60713367485761e-07,0.000478579495768958
"TRINITY_DN4037_c0_g1",574.219848432721,-24.4039133441702,4.78509270466729,-5.09998757607497,3.396757767082e-07,0.000600433547961195
"TRINITY_DN1038_c1_g1",481.269923724461,2.87942871100986,0.567855621063359,5.07070565862829,3.96343356095073e-07,0.000675581405583913
"TRINITY_DN5860_c0_g2",51.9998563527529,-9.18781768312939,1.81969931464525,-5.04908564243789,4.4392970213517e-07,0.000730601134269147
"TRINITY_DN82831_c0_g1",183.987139734268,-6.68015912846816,1.34299504928445,-4.97407576597348,6.55596659679125e-07,0.00104298872588352
"TRINITY_DN4057_c1_g1",1006.28477628508,2.31528729032858,0.468876065840218,4.93795153774723,7.89474542692351e-07,0.00121545972577671
"TRINITY_DN130_c0_g1",12439.5419478662,-2.58913791537056,0.528597173715287,-4.89813045569767,9.67527936770584e-07,0.00130329447338626
